ISBN,Synopsis
9780316505499,"""This is not just an important but an imperative project: to approach the problem of randomness and success using the state of the art scientific arsenal we have. Barabasi is the person.""--Nassim Nicholas Taleb, author of the New York Times bestselling The Black Swan and Distinguished Professor of Risk Engineering at NYUAn international bestsellerIn the bestselling tradition of Malcom Gladwell, James Gleick, and Nate Silver, prominent professor László Barabási gives us a trailblazing book that promises to transform the very foundations of how our success-obsessed society approaches their professional careers, life pursuits and long-term goals. Too often, accomplishment does not equal success. We did the work but didn't get the promotion; we played hard but weren't recognized; we had the idea but didn't get the credit. We convince ourselves that talent combined with a strong work ethic is the key to getting ahead, but also realize that combination often fails to yield results, without any deeper understanding as to why. Recognizing this striking disconnect, the author, along with a team of renowned researchers and some of the most advanced data-crunching systems on the planet, dedicated themselves to one goal: uncovering that ever-elusive link between performance and success. Now, based on years of academic research, The Formula finally unveils the groundbreaking discoveries of their pioneering study, not only highlighting the scientific and mathematic principles that underpin success, but also revolutionizing our understanding of: Why performance is necessary but not adequateWhy ""Experts"" are often wrongHow to assemble a creative team primed for successHow to most effectively engage our networksAnd much more."
9781586487980,"Winner of the 2011 Financial Times/Goldman Sachs Best Business Book of the Year AwardBillions of government dollars, and thousands of charitable organizations and NGOs, are dedicated to helping the world's poor. But much of their work is based on assumptions that are untested generalizations at best, harmful misperceptions at worst.Abhijit Banerjee and Esther Duflo have pioneered the use of randomized control trials in development economics. Work based on these principles, supervised by the Poverty Action Lab, is being carried out in dozens of countries. Drawing on this and their 15 years of research from Chile to India, Kenya to Indonesia, they have identified wholly new aspects of the behavior of poor people, their needs, and the way that aid or financial investment can affect their lives. Their work defies certain presumptions: that microfinance is a cure-all, that schooling equals learning, that poverty at the level of 99 cents a day is just a more extreme version of the experience any of us have when our income falls uncomfortably low.This important book illuminates how the poor live, and offers all of us an opportunity to think of a world beyond poverty.Learn more at www.pooreconomics.com"
9780684832722,"Two renowned investment advisors and authors of the bestseller The Great Reckoning bring to light both currents of disaster and the potential for prosperity and renewal in the face of radical changes in human history as we move into the next century. The Sovereign Individual details strategies necessary for adapting financially to the next phase of Western civilization.Few observers of the late twentieth century have their fingers so presciently on the pulse of the global political and economic realignment ushering in the new millennium as do James Dale Davidson and Lord William Rees-Mogg. Their bold prediction of disaster on Wall Street in Blood in the Streets was borne out by Black Tuesday. In their ensuing bestsellar, The Great Reckoning, published just weeks before the coup attempt against Gorbachev, they analyzed the pending collapse of the Soviet Union and foretold the civil war in Yugoslavia and other events that have proved to be among the most searing developments of the past few years.In The Sovereign Individual, Davidson and Rees-Mogg explore the greatest economic and political transition in centuries -- the shift from an industrial to an information-based society. This transition, which they have termed ""the fourth stage of human society,"" will liberate individuals as never before, irrevocably altering the power of government. This outstanding book will replace false hopes and fictions with new understanding and clarified values."
9780553804881,"From two leaders in executive education at Harvard Business School, here are the mental habits and proven strategies you need to achieve outstanding results in any negotiation.Whether you’ve “seen it all” or are just starting out, Negotiation Genius will dramatically improve your negotiating skills and confidence.  Drawing on decades of behavioral research plus the experience of thousands of business clients, the authors take the mystery out of preparing for and executing negotiations—whether they involve multimillion-dollar deals or improving your next salary offer.What sets negotiation geniuses apart?  They are the men and women who know how to:•Identify negotiation opportunities where others see no room for discussion•Discover the truth even when the other side wants to conceal it•Negotiate successfully from a position of weakness•Defuse threats, ultimatums, lies, and other hardball tactics•Overcome resistance and “sell” proposals using proven influence tactics•Negotiate ethically and create trusting relationships—along with great deals•Recognize when the best move is to walk away•And much, much moreThis book gets “down and dirty.”  It gives you detailed strategies—including talking points—that work in the real world even when the other side is hostile, unethical, or more powerful.  When you finish it, you will already have an action plan for your next negotiation.  You will know what to do and why. You will also begin building your own reputation as a negotiation genius."
9780393652246,"A New York Times technology correspondent presents the dramatic story of Uber, the Silicon Valley startup at the center of one of the great venture capital power struggles of our time.
In June 2017, Travis Kalanick, the hard-charging CEO of Uber, was ousted in a boardroom coup that capped a brutal year for the transportation giant. Uber had catapulted to the top of the tech world, yet for many came to symbolize everything wrong with Silicon Valley.
Award-winning New York Times technology correspondent Mike Isaac’s Super Pumped presents the dramatic rise and fall of Uber, set against an era of rapid upheaval in Silicon Valley. Backed by billions in venture capital dollars and led by a brash and ambitious founder, Uber promised to revolutionize the way we move people and goods through the world. A near instant “unicorn,” Uber seemed poised to take its place next to Amazon, Apple, and Google as a technology giant.
What followed would become a corporate cautionary tale about the perils of startup culture and a vivid example of how blind worship of startup founders can go wildly wrong. Isaac recounts Uber’s pitched battles with taxi unions and drivers, the company’s toxic internal culture, and the bare-knuckle tactics it devised to overcome obstacles in its quest for dominance. With billions of dollars at stake, Isaac shows how venture capitalists asserted their power and seized control of the startup as it fought its way toward its fateful IPO.
Based on hundreds of interviews with current and former Uber employees, along with previously unpublished documents, Super Pumped is a page-turning story of ambition and deception, obscene wealth, and bad behavior that explores how blistering technological and financial innovation culminated in one of the most catastrophic twelve-month periods in American corporate history.
 A New York Times Bestseller"
9780374528379,The violent lives of three sons are exposed when their father is murdered and each one attempts to come to terms with his guilt.  Translated and anotated by Larissa Volokhonsky and Richard Pevear
9780316436502,"The definitive inside account of the ""extraordinary"" (Financial Times) 1MDB scandal, ""a true life thriller"" (Ben Mezrich) about a ""modern Gatsby"" who managed to swindle over $5 billion with the aid of Goldman Sachs and others--a ""must read"" (Booklist) ""epic tale"" (Publishers Weekly) that exposes the secret nexus of elite wealth, banking, Hollywood, and politics from two award-winning Wall Street Journal reporters. 
In 2009, with the dust  yet to settle on the financial crisis, a baby-faced, seemingly  mild-mannered Wharton grad began setting in motion a fraud of  unprecedented gall and magnitude--one that would come to symbolize the  next great threat to the global financial system. His name is Jho Low, a  man whose behavior was so preposterous he might seem made up. 
 An epic true-tale of hubris and greed, Billion Dollar Whale reveals  how this young social climber pulled off one of the biggest heists in  history--right under the nose of the global financial industry. 
Federal  agents who helped unravel Bernie Madoff's Ponzi scheme say the 1MDB  affair will become the textbook case of financial fraud in the modern  age--and its fallout is already being credited for taking down the prime  minister of Malaysia. With his yacht and private jet reportedly seized  by authorities and facing money-laundering charges in Malaysia, an  Interpol red notice, and an ongoing U.S. Department of Justice  Investigation, Low has become an international fugitive. 
For readers of Liar's Poker, Den of Thieves, and Bad Blood, Billion Dollar Whale will become a classic, harrowing parable about finance run amok.
A New York Times Bestseller"
9780231153683,"Chairman and cofounder of Oaktree Capital Management, Howard Marks has been linked to Warren Buffett for his lucid assessments of market opportunities and risks.  His memos to clients have long been consulted by the world's leading value investors.  Now he brings his insightful commentary and investment philosophy to everyone.  Informed by a lifetime of experience and study, Marks helps readers understand the keys to investment success and how to avoid the pitfalls that can destroy capital or ruin a career.  Utilizing passages from his memos to illustrate his ideas, he teaches by example.  Part memoir, part creed, the book shows the development of an investment philosophy that fully acknowledges the complexities of investing and the perils of the financial world.  Marks's insight applies brilliantly to today's markets, supplying many broad takeaways for both the amateur and seasoned investor.  Marks expounds on such concepts as ""second-level thinking,"" the price/value relationship, patient opportunism, and defensive investing.  His frank and honest assessment of his own decisions-and occasional missteps-provides valuable lessons on critical thinking, risk assessment, and investment strategy.  Marks encourages investors to be ""contrarian,"" to judge market cycles wisely, and to achieve returns through aggressive yet measured action.  Which is the most essential element? Successful investing requires thoughtful attention to many separate aspects.  Each of the subjects Marks covers is the most important thing ."
9780143110439,"He can't leave his hotel. You won't want to.   From the New York Times bestselling author of Rules of Civility--a transporting novel about a man who is ordered to spend the rest of his life inside a luxury hotel.  

In 1922, Count Alexander Rostov is deemed an unrepentant aristocrat by a Bolshevik tribunal, and is sentenced to house arrest in the Metropol, a grand hotel across the street from the Kremlin. 
Rostov, an indomitable man of erudition and wit, has never worked a day in his life, and must now live in an attic room while some of the most tumultuous decades in Russian history are unfolding outside the hotel's doors. 

Unexpectedly, his reduced circumstances provide him entry into a much larger world of emotional discovery. Brimming with humor, a glittering cast of characters, and one beautifully rendered scene after another, this singular novel casts a spell as it relates the count's endeavor to gain a deeper understanding of what it means to be a man of purpose.

A New York Times Bestseller"
9780525558316,"From one of the most important economic thinkers of our time, a brilliant and far-seeing analysis of the current populist backlash against globalization.Raghuram Rajan, distinguished University of Chicago professor, former IMF chief economist, head of India's central bank, and author of the 2010 FT-Goldman-Sachs Book of the Year Fault Lines, has an unparalleled vantage point onto the social and economic consequences of globalization and their ultimate effect on our politics. In The Third Pillar he offers up a magnificent big-picture framework for understanding how these three forces--the state, markets, and our communities--interact, why things begin to break down, and how we can find our way back to a more secure and stable plane. The ""third pillar"" of the title is the community we live in. Economists all too often understand their field as the relationship between markets and the state, and they leave squishy social issues for other people. That's not just myopic, Rajan argues; it's dangerous. All economics is actually socioeconomics - all markets are embedded in a web of human relations, values and norms. As he shows, throughout history, technological phase shifts have ripped the market out of those old webs and led to violent backlashes, and to what we now call populism. Eventually, a new equilibrium is reached, but it can be ugly and messy, especially if done wrong. Right now, we're doing it wrong. As markets scale up, the state scales up with it, concentrating economic and political power in flourishing central hubs and leaving the periphery to decompose, figuratively and even literally. Instead, Rajan offers a way to rethink the relationship between the market and civil society and argues for a return to strengthening and empowering local communities as an antidote to growing despair and unrest. Rajan is not a doctrinaire conservative, so his ultimate argument that decision-making has to be devolved to the grass roots or our democracy will continue to wither, is sure to be provocative. But even setting aside its solutions, The Third Pillar is a masterpiece of explication, a book that will be a classic of its kind for its offering of a wise, authoritative and humane explanation of the forces that have wrought such a sea change in our lives."
